I0420 16:18:39.079358 IO-0 EL     (2097548) /home/lgw/Lumine-benchmarks/Lumine/src/dpu/gateway/http_connection.cpp:86] HttpConnection closed by client
I0420 16:18:39.079438 IO-0 EL     (2097548) /home/lgw/Lumine-benchmarks/Lumine/lib/server/io_worker.cpp:150] IO-0: One connection of type 0 closed, total of type 0 is 0
I0420 16:18:39.079989 Server EL   (2097552) /home/lgw/Lumine-benchmarks/Lumine/src/dpu/gateway/server.cpp:444] Analyze latency: Gateway accepted a new HTTP connection
I0420 16:18:39.080155 IO-1 EL     (2097549) /home/lgw/Lumine-benchmarks/Lumine/lib/server/io_worker.cpp:212] IO-1: New connection of type 0, total of type 0 is 1
I0420 16:18:39.080335 IO-1 EL     (2097549) /home/lgw/Lumine-benchmarks/Lumine/src/dpu/gateway/server.cpp:149] OnNewHttpFuncCall: func_id=1, client_id=0, call_id=1
I0420 16:18:39.080560 IO-1 EL     (2097549) /home/lgw/Lumine-benchmarks/Lumine/src/dpu/gateway/server.cpp:365] Analyze latency: Gateway will dispatch a function call[func_id=1,client_id=0,call_id=1] to Engine
I0420 16:18:39.080614 Server EL   (2097552) /home/lgw/Lumine-benchmarks/Lumine/src/dpu/gateway/server.cpp:444] Analyze latency: Gateway accepted a new HTTP connection
I0420 16:18:39.080759 IO-2 EL     (2097550) /home/lgw/Lumine-benchmarks/Lumine/lib/server/io_worker.cpp:212] IO-2: New connection of type 0, total of type 0 is 1
I0420 16:18:39.080923 IO-2 EL     (2097550) /home/lgw/Lumine-benchmarks/Lumine/src/dpu/gateway/server.cpp:149] OnNewHttpFuncCall: func_id=1, client_id=0, call_id=2
I0420 16:18:39.081027 IO-2 EL     (2097550) /home/lgw/Lumine-benchmarks/Lumine/src/dpu/gateway/server.cpp:365] Analyze latency: Gateway will dispatch a function call[func_id=1,client_id=0,call_id=2] to Engine
I0420 16:18:39.081290 Server EL   (2097552) /home/lgw/Lumine-benchmarks/Lumine/src/dpu/gateway/server.cpp:444] Analyze latency: Gateway accepted a new HTTP connection
I0420 16:18:39.081397 IO-3 EL     (2097551) /home/lgw/Lumine-benchmarks/Lumine/lib/server/io_worker.cpp:212] IO-3: New connection of type 0, total of type 0 is 1
I0420 16:18:39.081526 IO-3 EL     (2097551) /home/lgw/Lumine-benchmarks/Lumine/src/dpu/gateway/server.cpp:149] OnNewHttpFuncCall: func_id=1, client_id=0, call_id=3
I0420 16:18:39.081631 IO-3 EL     (2097551) /home/lgw/Lumine-benchmarks/Lumine/src/dpu/gateway/server.cpp:365] Analyze latency: Gateway will dispatch a function call[func_id=1,client_id=0,call_id=3] to Engine
I0420 16:18:39.081915 Server EL   (2097552) /home/lgw/Lumine-benchmarks/Lumine/src/dpu/gateway/server.cpp:444] Analyze latency: Gateway accepted a new HTTP connection
I0420 16:18:39.082033 IO-0 EL     (2097548) /home/lgw/Lumine-benchmarks/Lumine/lib/server/io_worker.cpp:212] IO-0: New connection of type 0, total of type 0 is 1
I0420 16:18:39.082196 IO-0 EL     (2097548) /home/lgw/Lumine-benchmarks/Lumine/src/dpu/gateway/server.cpp:149] OnNewHttpFuncCall: func_id=1, client_id=0, call_id=4
I0420 16:18:39.082333 IO-0 EL     (2097548) /home/lgw/Lumine-benchmarks/Lumine/src/dpu/gateway/server.cpp:365] Analyze latency: Gateway will dispatch a function call[func_id=1,client_id=0,call_id=4] to Engine
I0420 16:18:39.082568 Server EL   (2097552) /home/lgw/Lumine-benchmarks/Lumine/src/dpu/gateway/server.cpp:444] Analyze latency: Gateway accepted a new HTTP connection
I0420 16:18:39.082735 IO-1 EL     (2097549) /home/lgw/Lumine-benchmarks/Lumine/lib/server/io_worker.cpp:212] IO-1: New connection of type 0, total of type 0 is 2
I0420 16:18:39.082863 IO-1 EL     (2097549) /home/lgw/Lumine-benchmarks/Lumine/src/dpu/gateway/server.cpp:149] OnNewHttpFuncCall: func_id=1, client_id=0, call_id=5
I0420 16:18:39.082940 IO-1 EL     (2097549) /home/lgw/Lumine-benchmarks/Lumine/src/dpu/gateway/server.cpp:365] Analyze latency: Gateway will dispatch a function call[func_id=1,client_id=0,call_id=5] to Engine
I0420 16:18:39.083218 Server EL   (2097552) /home/lgw/Lumine-benchmarks/Lumine/src/dpu/gateway/server.cpp:444] Analyze latency: Gateway accepted a new HTTP connection
