Read file config.yml
Running executor...
Load lib exp06_run_audit_29.so failed
Fail to execute function  due to load errorexp06_run_audit_29
Load lib exp06_run_audit_40.so failed
Fail to execute function  due to load errorexp06_run_audit_40
Load lib exp06_run_audit_12.so failed
Fail to execute function  due to load errorexp06_run_audit_12
Loaded function exp06_marketdata. lib_load_elasped: 5411, func_load_elasped: 5
Load lib exp06_run_audit_42.so failed
Fail to execute function  due to load errorexp06_run_audit_42
Load lib exp06_run_audit_17.so failed
Fail to execute function  due to load errorexp06_run_audit_17
Load lib exp06_run_audit_12.so failed
Fail to execute function  due to load errorexp06_run_audit_12
Load lib exp06_run_audit_1.so failed
Fail to execute function  due to load errorexp06_run_audit_1
Send to executer failed.force_push: msg_id = 1916072, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 1916065, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1916079, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1916066, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1916116, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1916105, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 1916117, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1916070, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1916127, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1916061, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 1916097, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1916087, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1916046, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 1916100, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1916045, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 1916092, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 1916126, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 1916062, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 1916113, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1916075, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 1916101, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 1916125, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1916093, remain = 10, size = 64
Send to executer failed.
