Read file config.yml
Running executor...
Loaded function exp06_marketdata. lib_load_elasped: 11966, func_load_elasped: 8
Loaded function exp06_run_audit_5. lib_load_elasped: 231, func_load_elasped: 1
Loaded function exp06_run_audit_7. lib_load_elasped: 267, func_load_elasped: 1
Loaded function exp06_run_audit_10. lib_load_elasped: 280, func_load_elasped: 1
Loaded function exp06_run_audit_3. lib_load_elasped: 218, func_load_elasped: 1
Loaded function exp06_run_audit_8. lib_load_elasped: 235, func_load_elasped: 1
Loaded function exp06_run_audit_4. lib_load_elasped: 228, func_load_elasped: 1
Loaded function exp06_run_audit_2. lib_load_elasped: 331, func_load_elasped: 2
Loaded function exp06_run_audit_9. lib_load_elasped: 185, func_load_elasped: 1
Loaded function exp06_run_audit_6. lib_load_elasped: 316, func_load_elasped: 1
Loaded function exp06_run_audit_1. lib_load_elasped: 295, func_load_elasped: 1
Loaded function exp06_marginbalance. lib_load_elasped: 420, func_load_elasped: 1
req_id = 420251, token 5630326 us.
req_id = 300284, token 9518343 us.
req_id = 720048, token 23397820 us.
req_id = 900202, token 12221424 us.
