Read file config.yml
Running executor...
Loaded function exp06_marketdata. lib_load_elasped: 5967, func_load_elasped: 8
Loaded function exp06_run_audit_41. lib_load_elasped: 259, func_load_elasped: 1
Loaded function exp06_run_audit_37. lib_load_elasped: 384, func_load_elasped: 1
Loaded function exp06_run_audit_48. lib_load_elasped: 221, func_load_elasped: 1
Loaded function exp06_run_audit_56. lib_load_elasped: 231, func_load_elasped: 1
Loaded function exp06_run_audit_23. lib_load_elasped: 211, func_load_elasped: 1
Loaded function exp06_run_audit_16. lib_load_elasped: 225, func_load_elasped: 1
Loaded function exp06_run_audit_60. lib_load_elasped: 181, func_load_elasped: 1
Loaded function exp06_run_audit_9. lib_load_elasped: 412, func_load_elasped: 2
Loaded function exp06_run_audit_46. lib_load_elasped: 370, func_load_elasped: 1
Loaded function exp06_run_audit_33. lib_load_elasped: 282, func_load_elasped: 1
Loaded function exp06_run_audit_54. lib_load_elasped: 272, func_load_elasped: 1
Loaded function exp06_run_audit_29. lib_load_elasped: 338, func_load_elasped: 2
Loaded function exp06_run_audit_38. lib_load_elasped: 275, func_load_elasped: 1
Loaded function exp06_run_audit_53. lib_load_elasped: 274, func_load_elasped: 1
Loaded function exp06_run_audit_6. lib_load_elasped: 341, func_load_elasped: 1
Loaded function exp06_run_audit_10. lib_load_elasped: 323, func_load_elasped: 2
Loaded function exp06_run_audit_30. lib_load_elasped: 336, func_load_elasped: 1
Loaded function exp06_run_audit_34. lib_load_elasped: 356, func_load_elasped: 2
Loaded function exp06_run_audit_13. lib_load_elasped: 332, func_load_elasped: 1
Loaded function exp06_run_audit_1. lib_load_elasped: 242, func_load_elasped: 1
Send to executer failed.force_push: msg_id = 3253328, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254920, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254940, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254880, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3255125, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3255132, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254885, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3254905, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3254894, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254942, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3255113, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3255133, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3254908, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3255128, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3255119, remain = -54, size = 10
Send to executer failed.Loaded function exp06_run_audit_71. lib_load_elasped: 514, func_load_elasped: 3
force_push: msg_id = 3259450, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3259449, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3259407, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3259459, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3259462, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3259461, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3259467, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3259437, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3259475, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3259474, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3259558, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3259560, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3259469, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3259442, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3259408, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3259540, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3259629, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3259539, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3259563, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3259533, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3259502, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3259532, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3259500, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3259499, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3259472, remain = -54, size = 10
force_push: msg_id = 3259466, remain = 10, size = 64
Send to executer failed.Send to executer failed.force_push: msg_id = 3259409, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3259541, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3259487, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3259470, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3259431, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3259564, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3259498, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3259497, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3259524, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3259494, remain = -54, size = 10
Send to executer failed.
