Read file config.yml
Running executor...
Loaded function exp06_run_audit_7. lib_load_elasped: 430, func_load_elasped: 2
Loaded function exp06_run_audit_8. lib_load_elasped: 168, func_load_elasped: 1
Loaded function exp06_run_audit_1. lib_load_elasped: 150, func_load_elasped: 0
Loaded function exp06_marketdata. lib_load_elasped: 3336, func_load_elasped: 2
fail release: invalid id (mem = (nil), size = 48)
Loaded function exp06_run_audit_9. lib_load_elasped: 375, func_load_elasped: 2
Loaded function exp06_run_audit_5. lib_load_elasped: 295, func_load_elasped: 1
Loaded function exp06_run_audit_10. lib_load_elasped: 286, func_load_elasped: 1
Loaded function exp06_run_audit_2. lib_load_elasped: 273, func_load_elasped: 1
