Read file config.yml
Running executor...
Loaded function exp06_run_audit_3. lib_load_elasped: 259, func_load_elasped: 2
Loaded function exp06_run_audit_6. lib_load_elasped: 156, func_load_elasped: 1
Loaded function exp06_run_audit_9. lib_load_elasped: 290, func_load_elasped: 1
Loaded function exp06_run_audit_8. lib_load_elasped: 165, func_load_elasped: 1
Loaded function exp06_run_audit_2. lib_load_elasped: 174, func_load_elasped: 0
Loaded function exp06_run_audit_1. lib_load_elasped: 190, func_load_elasped: 0
Loaded function exp06_run_audit_10. lib_load_elasped: 197, func_load_elasped: 1
Loaded function exp06_marginbalance. lib_load_elasped: 299, func_load_elasped: 1
req_id = 1080004, token 152990 us.
