Read file config.yml
Running executor...
Loaded function exp06_marketdata. lib_load_elasped: 6234, func_load_elasped: 5
Loaded function exp06_run_audit_4. lib_load_elasped: 216, func_load_elasped: 1
Loaded function exp06_run_audit_10. lib_load_elasped: 273, func_load_elasped: 1
Loaded function exp06_run_audit_7. lib_load_elasped: 213, func_load_elasped: 1
Loaded function exp06_run_audit_2. lib_load_elasped: 219, func_load_elasped: 1
Loaded function exp06_run_audit_6. lib_load_elasped: 219, func_load_elasped: 1
Loaded function exp06_run_audit_9. lib_load_elasped: 286, func_load_elasped: 1
Loaded function exp06_run_audit_3. lib_load_elasped: 294, func_load_elasped: 1
Loaded function exp06_run_audit_19. lib_load_elasped: 232, func_load_elasped: 1
Loaded function exp06_run_audit_17. lib_load_elasped: 250, func_load_elasped: 1
Loaded function exp06_run_audit_1. lib_load_elasped: 284, func_load_elasped: 1
Loaded function exp06_run_audit_13. lib_load_elasped: 219, func_load_elasped: 1
Loaded function exp06_run_audit_8. lib_load_elasped: 173, func_load_elasped: 1
