Read file config.yml
Running executor...
Loaded function exp06_marketdata. lib_load_elasped: 5539, func_load_elasped: 4
Loaded function exp06_run_audit_8. lib_load_elasped: 308, func_load_elasped: 1
Loaded function exp06_run_audit_16. lib_load_elasped: 241, func_load_elasped: 1
Loaded function exp06_run_audit_2. lib_load_elasped: 270, func_load_elasped: 1
Loaded function exp06_run_audit_1. lib_load_elasped: 219, func_load_elasped: 1
Loaded function exp06_run_audit_9. lib_load_elasped: 230, func_load_elasped: 1
Loaded function exp06_run_audit_11. lib_load_elasped: 266, func_load_elasped: 2
Loaded function exp06_run_audit_3. lib_load_elasped: 218, func_load_elasped: 1
Loaded function exp06_run_audit_6. lib_load_elasped: 210, func_load_elasped: 1
Loaded function exp06_run_audit_20. lib_load_elasped: 158, func_load_elasped: 1
Loaded function exp06_run_audit_14. lib_load_elasped: 166, func_load_elasped: 0
Loaded function exp06_run_audit_4. lib_load_elasped: 176, func_load_elasped: 1
Loaded function exp06_run_audit_15. lib_load_elasped: 189, func_load_elasped: 0
