Read file config.yml
Running executor...
Loaded function exp06_run_audit_3. lib_load_elasped: 304, func_load_elasped: 2
Loaded function exp06_marketdata. lib_load_elasped: 4957, func_load_elasped: 2
fail release: invalid id (mem = (nil), size = 48)
Loaded function exp06_run_audit_10. lib_load_elasped: 219, func_load_elasped: 1
Loaded function exp06_run_audit_14. lib_load_elasped: 211, func_load_elasped: 1
Loaded function exp06_run_audit_17. lib_load_elasped: 145, func_load_elasped: 0
Loaded function exp06_run_audit_5. lib_load_elasped: 226, func_load_elasped: 1
Loaded function exp06_run_audit_9. lib_load_elasped: 218, func_load_elasped: 1
Loaded function exp06_run_audit_20. lib_load_elasped: 210, func_load_elasped: 1
Loaded function exp06_run_audit_16. lib_load_elasped: 282, func_load_elasped: 1
Loaded function exp06_run_audit_11. lib_load_elasped: 170, func_load_elasped: 1
Loaded function exp06_run_audit_15. lib_load_elasped: 156, func_load_elasped: 1
Loaded function exp06_run_audit_7. lib_load_elasped: 220, func_load_elasped: 1
Loaded function exp06_run_audit_12. lib_load_elasped: 163, func_load_elasped: 0
Loaded function exp06_run_audit_2. lib_load_elasped: 156, func_load_elasped: 0
Loaded function exp06_run_audit_19. lib_load_elasped: 175, func_load_elasped: 0
Loaded function exp06_run_audit_6. lib_load_elasped: 162, func_load_elasped: 0
Loaded function exp06_run_audit_18. lib_load_elasped: 158, func_load_elasped: 0
Loaded function exp06_marginbalance. lib_load_elasped: 260, func_load_elasped: 1
req_id = 420002, token 638705 us.
req_id = 900002, token 542952 us.
req_id = 1140004, token 419317 us.
req_id = 540001, token 732611 us.
