Read file config.yml
Running executor...
Loaded function exp06_marketdata. lib_load_elasped: 7402, func_load_elasped: 5
fail release: invalid id (mem = (nil), size = 48)
[apply_storage] cls_shm.id_info_.get failed: cls_size = 192
Loaded function exp06_run_audit_6. lib_load_elasped: 335, func_load_elasped: 1
Loaded function exp06_run_audit_16. lib_load_elasped: 267, func_load_elasped: 2
Loaded function exp06_run_audit_17. lib_load_elasped: 276, func_load_elasped: 1
Loaded function exp06_run_audit_20. lib_load_elasped: 207, func_load_elasped: 1
Loaded function exp06_run_audit_19. lib_load_elasped: 196, func_load_elasped: 1
Loaded function exp06_run_audit_13. lib_load_elasped: 224, func_load_elasped: 1
Loaded function exp06_run_audit_15. lib_load_elasped: 211, func_load_elasped: 1
Loaded function exp06_run_audit_9. lib_load_elasped: 252, func_load_elasped: 1
Loaded function exp06_run_audit_2. lib_load_elasped: 271, func_load_elasped: 1
Loaded function exp06_run_audit_12. lib_load_elasped: 247, func_load_elasped: 1
Loaded function exp06_run_audit_7. lib_load_elasped: 226, func_load_elasped: 1
Loaded function exp06_run_audit_4. lib_load_elasped: 290, func_load_elasped: 1
Loaded function exp06_run_audit_3. lib_load_elasped: 237, func_load_elasped: 1
Loaded function exp06_run_audit_5. lib_load_elasped: 237, func_load_elasped: 1
