Read file config.yml
Running executor...
Loaded function exp06_marketdata. lib_load_elasped: 8223, func_load_elasped: 6
Loaded function exp06_run_audit_5. lib_load_elasped: 317, func_load_elasped: 1
Loaded function exp06_run_audit_7. lib_load_elasped: 533, func_load_elasped: 1
Loaded function exp06_run_audit_8. lib_load_elasped: 199, func_load_elasped: 1
Loaded function exp06_run_audit_16. lib_load_elasped: 213, func_load_elasped: 1
Loaded function exp06_run_audit_4. lib_load_elasped: 273, func_load_elasped: 1
Loaded function exp06_run_audit_3. lib_load_elasped: 213, func_load_elasped: 1
Loaded function exp06_run_audit_13. lib_load_elasped: 206, func_load_elasped: 1
Loaded function exp06_run_audit_14. lib_load_elasped: 179, func_load_elasped: 0
Loaded function exp06_run_audit_6. lib_load_elasped: 336, func_load_elasped: 1
Loaded function exp06_run_audit_11. lib_load_elasped: 208, func_load_elasped: 1
Loaded function exp06_run_audit_2. lib_load_elasped: 478, func_load_elasped: 1
Loaded function exp06_run_audit_20. lib_load_elasped: 213, func_load_elasped: 1
Loaded function exp06_run_audit_1. lib_load_elasped: 147, func_load_elasped: 0
Loaded function exp06_run_audit_18. lib_load_elasped: 164, func_load_elasped: 0
Loaded function exp06_marginbalance. lib_load_elasped: 284, func_load_elasped: 1
req_id = 180005, token 233470 us.
req_id = 720002, token 630246 us.
req_id = 420003, token 296716 us.
