Read file config.yml
Running executor...
Loaded function exp06_marketdata. lib_load_elasped: 7312, func_load_elasped: 5
Loaded function exp06_run_audit_18. lib_load_elasped: 259, func_load_elasped: 1
Loaded function exp06_run_audit_14. lib_load_elasped: 237, func_load_elasped: 1
Loaded function exp06_run_audit_20. lib_load_elasped: 156, func_load_elasped: 0
Loaded function exp06_run_audit_10. lib_load_elasped: 168, func_load_elasped: 0
Loaded function exp06_run_audit_16. lib_load_elasped: 212, func_load_elasped: 1
Loaded function exp06_run_audit_19. lib_load_elasped: 194, func_load_elasped: 1
Loaded function exp06_run_audit_5. lib_load_elasped: 488, func_load_elasped: 1
Loaded function exp06_run_audit_6. lib_load_elasped: 176, func_load_elasped: 1
Loaded function exp06_run_audit_11. lib_load_elasped: 145, func_load_elasped: 0
Loaded function exp06_run_audit_3. lib_load_elasped: 168, func_load_elasped: 0
Loaded function exp06_run_audit_8. lib_load_elasped: 171, func_load_elasped: 1
